ObjectID,origin_id,destination_id,OriginID,DestinationID,DestinationRank,total_cost
1519,GH_A1114A1,SL_BRRA1,1,182,181,21665.119365722861000
1520,GH_A1114A1,SL_A690C1,1,174,182,21732.158595224268000
1521,GH_A1114A1,SL_A1231G1,1,156,183,21741.009576223616000
1522,GH_A1114A1,SL_BRRB1,1,183,184,21804.661666816759000
1523,GH_A1114A1,SL_A183H1,1,169,185,21992.285688349828000
1524,GH_A1114A1,METCCTV00024,1,69,186,22348.916884805654000
1525,GH_A1114A1,METCCTV00023,1,68,187,22356.936741059144000
1526,GH_A1114A1,SL_A1018F1,1,154,188,22706.828318257703000
1527,GH_A1114A1,SL_B1522A1,1,179,189,22844.208816965347000
1528,GH_A1114A1,SL_A690B1,1,173,190,22939.826693291241000
1529,GH_A1114A1,SL_A182B1,1,160,191,23338.731081066835000
1530,GH_A1114A1,NB_A1061B1,1,71,192,23541.556832273232000
1531,GH_A1114A1,SL_B1522B1,1,180,193,24066.812510661908000
1532,GH_A1114A1,NB_A193A1,1,78,194,24338.118347790718000
1533,GH_A1114A1,SL_B1522C1,1,181,195,24908.028177887107000
1534,GH_A1114A1,NB_A193B1,1,81,196,25231.288884675650000
1535,GH_A1114A1,NB_A193A3,1,80,197,25351.852445475972000
1536,GH_A1114A1,NB_B1329A1,1,83,198,26427.474584280259000
1537,GH_A1114A1,NB_A193A2,1,79,199,26464.127793697851000
1538,GH_A1114A1,VAISALACCTV57,1,227,200,27157.980454384382000
1539,GH_A1114A1,NB_A192A1,1,77,201,27224.479754260738000
1540,GH_A1114A1,VAISALACCTV12,1,215,202,29277.491307227992000
1541,GH_A1114A1,NB_A189A1,1,75,203,29410.528497597734000
1542,GH_A1114A1,VAISALACCTV3382,1,221,204,29727.963077868437000
1543,GH_A1114A1,VAISALACCTV56,1,226,205,30329.054296095950000
1544,GH_A1114A1,NB_A6079A1,1,82,206,30934.466171357377000
1545,GH_A1114A1,VAISALACCTV58,1,228,207,39047.961113315476000
1546,GH_A1114A1,VAISALACCTV54,1,225,208,40113.588112859201000
1547,GH_A1114A1,METCCTV00022,1,67,209,41998.426810332006000
1548,GH_A1114A1,VAISALACCTV2360,1,218,210,44632.928161456912000
1549,GH_A1114A1,VAISALACCTV2359,1,217,211,47566.359598522518000
1550,GH_A1114A1,VAISALACCTV2394,1,219,212,51678.180806355966000
1551,GH_A1114A1,VAISALACCTV13,1,216,213,55286.152113108656000
1552,GH_A1114A1,NB_A1068A1,1,72,214,55563.916656292196000
1553,GH_A1114A1,VAISALACCTV30,1,220,215,57007.270895063368000
1554,GH_A1114A1,VAISALACCTV49,1,222,216,60363.425490474569000
