Sensor Name,Location (WKT),Ground Height Above Sea Level,Sensor Height Above Ground,Broker Name,Third Party,Sensor Centroid Longitude,Sensor Centroid Latitude
PER_PEOPLE-FTP_METCCTV00016,POINT (-1.494206 55.0055993),48.1199989318848,2.0,people-ftp,False,-1.494206,55.0055993
PER_PEOPLE-FTP_NB_B1329A1,POINT (-1.502171 55.1265848),5.48000001907349,2.0,people-ftp,False,-1.502171,55.1265848
PER_PEOPLE-FTP_VAISALACCTV51,POINT (-1.832679 54.8831486),218.509994506836,2.0,People ftp,False,-1.832679,54.8831486
PER_PEOPLE-FTP_SL_A690F1,POINT (-1.453955 54.8575674),110.080001831055,2.0,People ftp,False,-1.453955,54.8575674
PER_PEOPLE-FTP_SL_A183E1,POINT (-1.389085 54.9078124),34.9599990844727,2.0,people-ftp,False,-1.389085,54.9078124
PER_PEOPLE-FTP_NT_A191C1,POINT (-1.566538 55.0111975),64.870002746582,2.0,people-ftp,False,-1.566538,55.0111975
PER_PEOPLE-FTP_NT_A193G1,POINT (-1.519323 54.9933003),24.7999992370605,2.0,people-ftp,False,-1.519323,54.9933003
PER_PEOPLE-FTP_NC_A1058A1,POINT (-1.594913 54.98669),42.5,2.0,people-ftp,False,-1.594913,54.98669
PER_PEOPLE-FTP_NT_A191E1,POINT (-1.525083 55.0249965),72.6399993896484,2.0,people-ftp,False,-1.525083,55.0249965
PER_PEOPLE-FTP_SL_B1284A1,POINT (-1.4795 54.83266),51.8300018310547,2.0,People ftp,False,-1.4795,54.83266
PER_PEOPLE-FTP_PS192,POINT (-1.60962 54.9717915),30.9799995422363,2.0,people-ftp,False,-1.60962,54.9717915
PER_PEOPLE-FTP_TT2SOUTH3,POINT (-1.484487 54.9960305),23.75,2.0,People ftp,False,-1.484487,54.9960305
PER_PEOPLE-FTP_GH_A167I1,POINT (-1.599031 54.9498143),82.8899993896484,2.0,people-ftp,False,-1.599031,54.9498143
PER_PEOPLE-FTP_GH_A167K1,POINT (-1.59747 54.9308565),85.8499984741211,2.0,people-ftp,False,-1.59747,54.9308565
PER_PEOPLE-FTP_NC_A193L1,POINT (-1.598052 54.9745414),38.1399993896484,2.0,people-ftp,False,-1.598052,54.9745414
PER_PEOPLE-FTP_GH_A695B1,POINT (-1.746733 54.9641003),75.0199966430664,2.0,people-ftp,False,-1.746733,54.9641003
PER_PEOPLE-FTP_METCCTV00023,POINT (-1.673979 55.1250224),66.4000015258789,2.0,people-ftp,False,-1.673979,55.1250224
PER_PEOPLE-FTP_ST_A184H1,POINT (-1.427492 54.9444575),30.6399993896484,2.0,People ftp,False,-1.427492,54.9444575
PER_PEOPLE-FTP_NB_A1068A1,POINT (-1.69319 55.4002894),62.2000007629395,2.0,people-ftp,False,-1.69319,55.4002894
PER_PEOPLE-FTP_VAISALACCTV58,POINT (-1.706855 54.6747152),127.720001220703,2.0,People ftp,False,-1.706855,54.6747152
PER_PEOPLE-FTP_NT_A1058F1,POINT (-1.453522 55.0224079),44.2299995422363,2.0,people-ftp,False,-1.453522,55.0224079
PER_PEOPLE-FTP_GH_KSWA1,POINT (-1.613378 54.9227573),11.6899995803833,2.0,people-ftp,False,-1.613378,54.9227573
PER_PEOPLE-FTP_SL_A183L1,POINT (-1.49661 54.8672656),60.9000015258789,2.0,people-ftp,False,-1.49661,54.8672656
PER_PEOPLE-FTP_GH_A184B1,POINT (-1.604951 54.9628426),49.5099983215332,2.0,people-ftp,False,-1.604951,54.9628426
PER_PEOPLE-FTP_NB_A6079A1,POINT (-2.09348 54.9775536),35.7700004577637,2.0,people-ftp,False,-2.09348,54.9775536
PER_PEOPLE-FTP_ST_A1300B1,POINT (-1.413745 54.9717045),24.5799999237061,2.0,People ftp,False,-1.413745,54.9717045
PER_PEOPLE-FTP_NC_A186B1,POINT (-1.653375 54.9756104),115.459999084473,2.0,people-ftp,False,-1.653375,54.9756104
PER_PEOPLE-FTP_METCCTV00015,POINT (-1.494356 55.0055193),48.0,2.0,people-ftp,False,-1.494356,55.0055193
PER_PEOPLE-FTP_NC_A167B1,POINT (-1.661325 54.9952479),97.0199966430664,2.0,people-ftp,False,-1.661325,54.9952479
PER_PEOPLE-FTP_MCJ05161,POINT (-1.674312 54.9560524),11.4300003051758,2.0,people-ftp,False,-1.674312,54.9560524
PER_PEOPLE-FTP_SL_B1522C1,POINT (-1.361587 54.8778764),27.1200008392334,2.0,People ftp,False,-1.361587,54.8778764
PER_PEOPLE-FTP_METCCTV00022,POINT (-2.066883 55.1919386),270.660003662109,2.0,people-ftp,False,-2.066883,55.1919386
PER_PEOPLE-FTP_SL_A183D1,POINT (-1.386865 54.9079625),34.9199981689453,2.0,people-ftp,False,-1.386865,54.9079625
PER_PEOPLE-FTP_PS195,POINT (-1.620179 54.9685517),39.2999992370605,2.0,people-ftp,False,-1.620179,54.9685517
PER_PEOPLE-FTP_METCCTV00012,POINT (-1.659663 54.952493),15.1800003051758,2.0,people-ftp,False,-1.659663,54.952493
PER_PEOPLE-FTP_SL_A183G1,POINT (-1.394564 54.9032329),41.1199989318848,2.0,people-ftp,False,-1.394564,54.9032329
PER_PEOPLE-FTP_TT2SOUTH2,POINT (-1.488667 55.0022097),37.3400001525879,2.0,People ftp,False,-1.488667,55.0022097
PER_PEOPLE-FTP_NB_A193A1,POINT (-1.554325 55.1281538),17.75,2.0,people-ftp,False,-1.554325,55.1281538
PER_PEOPLE-FTP_NC_B1318A1,POINT (-1.621861 55.0242951),52.5800018310547,2.0,people-ftp,False,-1.621861,55.0242951
